GLITTER! 4.4 [trunk]: Laser Ablation Analysis Results

Z:\2013\tretiakova_irina\RUN2.B
Created: Wed Dec 04 16:38:55 2013

All values are reported in ppm

GLITTER!: Trace Element Concentrations MDL filtered.
Element,STDGJ-03,STDGJ-04,610-02,91500-02,MT-02,INT1-13,INT1-14C,INT1-14R,INT1-15,INT1-16,INT1-17,INT1-18C,INT1-18R,INT1-19,INT1-20,INT1-21C,INT1-21RI,INT1-22C,INT1-22R,STDGJ-05,STDGJ-06
La139,0.0000,0.0139,1198.91,0.0142,0.0000,0.965,14.34,1.075,0.050,0.052,473452.94,1.307,0.644,11.98,0.0511,28.68,21.52,1.369,23.15,0.0000,0.0000
Ce140,21.32,20.98,466.04,2.512,2.963,8.36,138.86,39.70,6.33,9.50,646614.56,18.07,14.76,52.33,15.50,46.95,48.81,9.14,58.91,20.85,21.13
Pr141,0.275,0.367,3416.06,0.112,0.263,3.76,35.60,1.59,0.568,0.69,712108.25,2.06,0.748,10.25,0.628,24.03,26.90,3.77,63.42,0.367,0.301
Nd146,1.166,1.257,638.54,0.310,0.856,10.34,41.92,2.13,1.76,1.57,633409.00,5.69,2.13,10.81,2.39,24.24,28.87,4.69,66.03,1.183,1.188
Sm147,8.20,7.48,2004.33,1.91,5.71,44.88,70.51,7.34,10.78,10.82,430428.41,28.58,13.45,23.17,15.40,47.57,39.22,10.46,87.80,7.91,8.38
Eu151,12.36,12.39,5195.41,2.28,12.44,11.57,57.16,5.78,2.09,1.59,211763.34,11.53,5.09,27.67,8.98,28.53,33.15,8.05,108.79,12.67,12.89
Gd157,24.96,24.61,1470.59,6.99,30.46,139.57,136.20,18.86,49.15,43.07,275873.97,103.26,54.70,76.31,64.57,116.56,64.27,23.74,125.21,25.97,24.54
Tb159,36.08,35.27,7620.69,13.71,50.15,213.65,201.86,35.70,82.46,75.05,215104.05,166.11,94.39,127.82,121.02,164.93,90.57,38.70,164.37,35.39,35.70
Dy163,56.61,56.38,1188.98,28.73,88.83,374.22,386.95,80.92,158.03,160.76,200802.16,307.59,188.09,239.91,257.15,275.53,158.80,72.98,261.90,57.65,56.95
Ho165,85.99,87.84,5581.67,53.20,128.63,595.56,741.84,175.43,265.85,271.81,171115.59,511.77,319.37,407.97,472.07,416.49,259.04,132.13,400.13,86.81,85.95
Er166,128.77,127.04,1859.44,99.05,158.19,883.94,1409.66,375.01,406.62,441.62,151315.77,758.64,500.96,664.65,806.66,603.75,409.56,233.88,592.13,129.19,127.59
Tm169,192.29,189.48,12752.82,173.01,184.05,1230.61,2514.75,712.83,564.17,690.14,135711.91,1027.82,720.19,1044.33,1249.67,826.51,620.26,392.27,864.62,186.67,189.06
Yb173,262.45,257.88,1931.45,261.84,198.87,1583.05,4006.84,1211.09,738.83,914.85,112966.50,1298.38,927.82,1493.10,1757.27,1049.56,845.20,631.49,1194.27,260.56,260.89
Lu175,355.06,352.29,12257.22,342.82,211.34,1840.21,6067.53,1916.51,927.75,1135.46,84291.22,1583.56,1154.37,2056.37,2397.76,1288.69,1086.33,1080.29,1650.81,350.41,352.53
Hf177,43442.36,43252.79,2558.66,31198.48,57330.38,51742.51,56188.10,62564.66,58669.03,56796.82,102980.70,48192.08,55202.96,49893.75,52274.17,54822.96,66193.36,72421.40,72660.91,43349.14,43308.13
Hf178,43583.26,43583.25,2558.66,31451.14,57732.35,51134.05,56245.10,63347.11,59441.05,56512.21,103077.16,48736.79,55689.82,50505.34,52703.20,55367.30,66123.43,72386.38,72708.32,43583.26,43583.26
Ta181,18.69,19.61,18869.24,16.04,283.75,22.35,83.84,11.68,33.17,66.99,500417.28,59.68,80.45,33.05,53.87,68.21,79.41,22.52,171.22,20.56,18.13
Pb204,0.00,0.00,114.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.91,0.00,0.00,1.33,0.00,0.00
Pb206,28.62,28.19,114.82,14.96,12.72,48.40,40.68,21.55,21.72,43.57,146.23,59.37,83.68,15.57,31.93,59.95,107.67,92.92,263.90,28.48,28.35
Pb207,1.899,1.853,114.82,1.212,0.840,6.47,2.500,1.300,2.580,5.51,24.94,11.46,15.23,0.910,1.903,7.57,13.41,21.31,48.11,1.853,1.841
Pb208,0.283,0.2468,114.82,0.754,1.564,3.37,5.41,1.683,2.439,2.734,173.50,4.30,2.893,1.727,1.682,7.84,9.56,3.83,8.78,0.265,0.2498
Th232,430.31,424.28,11317.65,695.21,2155.04,1914.56,13812.66,4229.22,1254.12,1592.59,433540.44,1725.21,1223.52,4754.93,4495.84,4350.85,5743.93,1276.11,6105.23,430.38,424.13
U238,23572.21,23407.81,39918.05,6809.12,8615.62,12996.83,51381.79,28588.64,5319.57,12045.35,181995.41,10790.41,15655.64,21415.69,43062.42,14833.34,27415.60,13703.73,68244.63,23635.59,23707.94
